Node,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8,Person9,Person10,Person11,Person12,Person13,Person14,Person15,Person16,Person17,Person18,Person19,Person20,Person21
Person1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Person2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Person3,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1
Person4,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1
Person5,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
Person6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Person7,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
Person8,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
Person9,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1
Person10,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0
Person11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Person13,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Person14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Person15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Person16,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Person17,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Person18,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
Person19,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0
Person20,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1
Person21,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0
