Node,Person1,Person2,Person3,Person6,Person8,Person10,Person11,Person13,Person14,Person18,Person19,Person20,Person21,Person22,Person23,Person24,Person25,Person26,Person27,Person32,Person33,Person35,Person36,Person37,Person38,Person39,Person40,Person41,Person42,Person43,Person44,Person45
Person1,24,488,28,65,20,65,45,346,82,52,177,28,24,49,81,77,77,73,33,31,22,46,31,128,38,89,95,25,388,71,212,185
Person2,364,6,17,17,15,0,30,20,35,20,22,15,15,15,15,50,25,8,0,15,15,15,15,0,15,15,10,24,89,23,163,39
Person3,4,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person6,52,30,0,4,0,2,0,32,21,34,9,0,0,0,0,5,4,2,35,0,0,0,0,12,0,0,12,5,20,4,19,33
Person8,26,4,4,4,0,4,8,4,4,4,4,4,4,4,4,4,4,4,4,0,4,8,4,14,4,0,4,0,4,7,4,4
Person10,72,23,0,2,0,34,0,16,0,7,15,0,0,0,8,7,6,0,0,0,0,0,0,14,0,0,7,3,34,3,22,0
Person11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Person13,239,82,5,37,3,34,5,10,12,18,164,18,0,0,0,30,53,27,20,4,0,5,4,55,0,9,34,0,146,216,88,288
Person14,24,25,0,2,0,0,0,8,16,0,15,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,10,0,30,44
Person18,43,15,0,32,0,12,0,14,0,5,25,2,0,0,0,10,10,0,20,15,0,5,20,29,0,4,10,0,47,6,22,19
Person19,178,36,0,11,0,19,10,172,39,28,29,0,4,0,0,23,15,24,0,0,8,0,0,29,10,11,22,0,46,0,119,34
Person20,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,53,0,5,9
Person21,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Person22,12,0,9,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,5,0,0,0,0,0,0,0,0,0,35,0,8,0
Person23,120,0,0,0,0,4,0,0,0,0,0,5,0,0,78,0,0,0,0,0,0,0,0,0,0,0,8,0,58,0,32,0
Person24,58,25,0,10,0,0,0,20,0,5,10,0,0,5,0,15,10,0,0,0,5,0,0,5,0,0,0,0,35,0,10,0
Person25,63,18,9,7,0,6,0,36,0,5,9,5,0,5,0,5,0,0,0,5,2,0,0,0,0,0,15,0,10,9,15,9
Person26,58,8,5,4,0,0,0,4,0,5,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,0,8,10,48,0
Person27,5,5,0,25,0,0,0,10,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,10,0
Person32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0
Person33,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Person35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,15,0,0,5
Person36,5,5,5,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,5,0
Person37,89,17,4,14,14,18,8,41,4,19,31,4,4,9,4,14,4,9,4,4,4,58,4,5,18,14,9,4,156,4,56,10
Person38,32,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0,23,10,0,0,0,0,9,15,0
Person39,35,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0
Person40,50,28,0,13,0,0,0,19,29,5,8,0,33,0,4,0,10,15,0,0,0,0,0,10,0,0,0,3,32,0,13,33
Person41,9,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6
Person42,559,132,5,24,21,29,0,155,15,98,69,89,37,76,80,63,15,4,9,18,43,108,29,218,0,15,66,0,6,14,91,126
Person43,39,21,0,6,3,3,0,140,0,7,0,2,0,0,0,0,9,5,0,0,0,0,0,0,0,0,2,0,18,2,20,8
Person44,82,125,10,22,10,15,18,70,35,23,114,20,16,15,24,30,28,49,30,5,5,15,8,53,25,8,21,8,65,28,0,67
Person45,239,99,0,27,3,0,0,268,101,18,35,4,0,0,0,0,7,0,0,0,0,14,0,5,0,0,50,6,71,7,107,219
