Node,Person1,Person2,Person3,Person6,Person8,Person10,Person11,Person13,Person14,Person18,Person19,Person20,Person21,Person22,Person23,Person24,Person25,Person26,Person27,Person32,Person33,Person35,Person36,Person37,Person38,Person39,Person40,Person41,Person42,Person43,Person44,Person45
Person1,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,4,2
Person2,4,0,2,0,1,0,3,3,4,1,3,0,2,2,2,3,2,0,1,2,3,2,0,2,0,0,2,1,2,3,4,4
Person3,3,1,0,4,1,0,0,2,0,2,4,4,0,4,1,2,2,2,1,2,2,2,4,2,0,2,0,1,1,1,0,0
Person6,2,0,2,0,2,0,0,2,2,2,2,2,2,2,2,1,0,0,4,2,2,2,2,2,2,0,2,2,2,0,2,0
Person8,3,0,0,2,0,0,0,2,3,2,2,1,0,2,1,2,2,0,1,2,2,2,0,2,1,0,1,2,2,0,2,2
Person10,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,2,0,2,0,2,0
Person11,3,2,1,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Person13,2,2,2,2,2,0,0,0,1,0,2,0,2,2,2,2,2,0,1,2,2,1,1,2,2,0,2,0,2,2,0,0
Person14,3,4,0,0,2,0,0,2,0,0,1,0,2,1,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,4
Person18,2,1,3,3,2,0,1,2,2,0,2,3,0,1,2,2,2,0,2,3,2,2,4,2,2,0,0,2,2,2,0,0
Person19,1,3,2,1,1,0,0,3,1,1,0,0,0,2,1,2,2,0,1,2,2,2,1,2,2,0,2,1,1,0,1,0
Person20,1,0,1,2,0,0,0,1,0,3,0,0,0,2,0,1,0,0,2,2,2,2,0,0,2,0,0,0,2,2,0,0
Person21,3,3,1,2,1,0,3,3,2,1,1,0,0,1,1,1,0,0,2,1,1,1,1,0,0,2,4,2,2,2,3,3
Person22,3,2,4,2,3,0,0,3,2,1,2,3,1,0,3,4,3,2,3,3,3,4,3,3,3,2,1,2,4,3,2,0
Person23,3,2,2,3,1,0,1,2,2,2,2,1,0,3,0,2,2,0,2,1,2,1,2,2,2,0,0,0,3,0,2,0
Person24,2,2,2,1,3,0,0,3,1,0,2,0,0,3,2,0,3,0,1,2,4,3,0,3,2,0,0,0,2,0,0,0
Person25,3,2,3,0,2,0,0,3,2,1,2,0,0,3,2,2,0,0,1,3,3,3,0,2,0,0,0,1,1,0,2,0
Person26,4,1,2,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,1,0,2,2,1,2,2,4,0
Person27,2,0,2,4,1,0,0,2,0,2,0,2,0,2,2,1,0,0,0,1,2,3,2,2,2,2,0,2,2,1,2,0
Person32,2,2,2,2,2,0,0,2,0,3,2,2,0,3,1,2,2,0,2,0,3,4,2,3,3,0,0,2,3,1,0,0
Person33,3,3,2,2,2,0,0,3,1,2,3,2,0,2,3,4,3,0,2,2,0,3,2,2,3,0,1,2,2,1,0,1
Person35,2,2,2,3,0,0,0,2,3,2,2,0,0,3,0,3,2,0,3,3,3,0,0,4,2,0,0,2,4,0,0,0
Person36,2,0,4,3,0,0,0,0,0,4,0,1,0,2,1,1,0,0,2,2,2,1,0,1,2,0,0,1,2,0,0,0
Person37,2,2,2,2,2,0,0,3,2,2,2,2,0,3,2,3,2,0,3,3,3,4,2,0,3,0,2,2,4,0,0,0
Person38,2,2,2,2,1,0,0,2,0,3,2,2,0,3,2,3,0,0,2,4,3,3,3,4,0,0,0,1,0,0,0,0
Person39,4,1,2,1,1,0,1,1,0,1,1,1,2,2,1,1,0,3,2,1,1,2,1,2,1,0,0,2,2,0,3,0
Person40,2,2,1,2,1,0,0,2,2,1,1,0,4,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0
Person41,3,2,0,3,0,0,0,0,0,1,1,0,1,2,2,2,0,0,3,2,2,3,0,2,1,2,1,0,2,0,2,0
Person42,2,2,2,2,2,0,0,2,0,2,0,2,0,3,2,2,0,2,2,2,2,4,2,3,0,2,2,2,0,2,2,0
Person43,3,4,1,0,0,0,0,4,0,2,0,0,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,1,2,0,0,2
Person44,4,4,2,2,2,2,1,2,2,0,2,0,2,2,2,1,2,3,2,0,1,2,2,2,0,2,2,2,2,2,0,0
Person45,3,3,0,1,2,0,0,3,4,0,1,0,2,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,3,3,0
