Node,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8,Person9,Person10,Person11,Person12,Person13,Person14,Person15,Person16,Person17,Person18,Person19,Person20,Person21
Person1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Person4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Person6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Person7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Person9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Person10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Person11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Person12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Person13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Person14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Person16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Person18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Person19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Person20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Person21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
